GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
icmc,com.mc.icmc.error.record,FieldError,15,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.error.record,ErrorResponse,21,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.domain,Commercant_,3,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.domain,Log_User_,3,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.domain,Actions_,3,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.domain,RoleModuleAction_,3,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.domain,Roles_,3,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.domain,Modules_,3,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.domain,Users_,3,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.domain,Demande_,3,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.domain,Nationalite_,3,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.dto.response,ModulesResponse,12,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.dto.response,RolesResponse,12,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.dto.response,UserResponse,36,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.dto.response,LogUserResponse,36,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.dto.response,CommercantResponse,15,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.dto.response,LoginResponse,9,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.dto.response,ActionsResponse,9,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.dto.response,RegisterResponse,9,0,0,0,1,0,1,0,1,0
icmc,com.mc.icmc.config,SecurityConfig,0,119,0,0,0,19,0,4,0,4
icmc,com.mc.icmc.config,JwtAuthenticationFilter,49,0,6,0,13,0,4,0,1,0
icmc,com.mc.icmc.error,ExceptionsHandler,183,7,0,0,45,2,14,2,14,2
icmc,com.mc.icmc.dto.mapper,IRolesMapper,54,0,0,0,19,0,3,0,3,0
icmc,com.mc.icmc.dto.mapper,IRolesMapperImpl,14,3,2,0,5,1,2,1,1,1
icmc,com.mc.icmc.dto.mapper,IActionsMapperImpl,36,3,4,0,13,1,4,1,2,1
icmc,com.mc.icmc.dto.mapper,IUserMapperImpl,79,3,2,0,26,1,2,1,1,1
icmc,com.mc.icmc.dto.mapper,IUserMapper,84,0,4,0,22,0,4,0,2,0
icmc,com.mc.icmc.dto.mapper,IModulesMapperImpl,14,3,2,0,5,1,2,1,1,1
icmc,com.mc.icmc.dto.mapper,IModulesMapper,27,0,0,0,10,0,2,0,2,0
icmc,com.mc.icmc.dto.mapper,ILogUserMapperImpl,218,3,28,0,78,1,22,1,8,1
icmc,com.mc.icmc.service.impl,ModulesServiceImpl,74,0,0,0,18,0,4,0,4,0
icmc,com.mc.icmc.service.impl,EmailServiceImpl,27,6,0,0,10,3,1,1,1,1
icmc,com.mc.icmc.service.impl,NationaliteServiceImpl,10,6,0,0,2,3,2,1,2,1
icmc,com.mc.icmc.service.impl,LogUserServiceImpl,118,0,8,0,30,0,8,0,4,0
icmc,com.mc.icmc.service.impl,MacAddressUtil,111,0,16,0,29,0,12,0,4,0
icmc,com.mc.icmc.service.impl,RoleServiceImpl,308,4,16,0,64,1,20,1,12,1
icmc,com.mc.icmc.service.impl,CommercantServiceImpl,51,0,2,0,12,0,7,0,6,0
icmc,com.mc.icmc.service.impl,JwtServiceImpl,50,9,0,0,17,3,5,1,5,1
icmc,com.mc.icmc.service.impl,ActionsServiceImpl,119,0,6,0,25,0,10,0,7,0
icmc,com.mc.icmc.service.impl,AuthServiceImpl,513,8,36,0,112,2,36,1,18,1
icmc,com.mc.icmc,IcmcApplication,5,7,0,0,2,2,1,2,1,2
icmc,com.mc.icmc.controller,RolesController,38,4,0,0,9,1,5,1,5,1
icmc,com.mc.icmc.controller,LogUserController,30,0,0,0,7,0,4,0,4,0
icmc,com.mc.icmc.controller,CommercantController,19,0,0,0,5,0,4,0,4,0
icmc,com.mc.icmc.controller,EmailController,9,3,0,0,2,1,1,1,1,1
icmc,com.mc.icmc.controller,ActionsController,39,0,0,0,10,0,5,0,5,0
icmc,com.mc.icmc.controller,AuthController,112,4,4,0,27,1,11,1,9,1
icmc,com.mc.icmc.controller,ModulesController,31,0,0,0,8,0,4,0,4,0
icmc,com.mc.icmc.controller,NationaliteController,9,6,0,0,2,3,2,1,2,1
icmc,com.mc.icmc.error.exception,ModuleAlreadyExistsException,40,0,0,0,14,0,2,0,2,0
icmc,com.mc.icmc.error.exception,ApiKeyNotFoundException,20,0,0,0,7,0,1,0,1,0
icmc,com.mc.icmc.error.exception,UnauthorizedException,20,0,0,0,7,0,1,0,1,0
icmc,com.mc.icmc.error.exception,TypeNotFoundException,47,0,0,0,14,0,2,0,2,0
icmc,com.mc.icmc.error.exception,BadRequestException,20,0,0,0,7,0,1,0,1,0
icmc,com.mc.icmc.error.exception,ActionAlreadyExistsException,40,0,0,0,14,0,2,0,2,0
icmc,com.mc.icmc.error.exception,LogUserNotFoundException,20,0,0,0,7,0,1,0,1,0
icmc,com.mc.icmc.error.exception,RoleNotFoundException,20,0,0,0,7,0,1,0,1,0
icmc,com.mc.icmc.error.exception,AccessDeniedException,20,0,0,0,7,0,1,0,1,0
icmc,com.mc.icmc.error.exception,ActionNotFoundException,20,0,0,0,7,0,1,0,1,0
icmc,com.mc.icmc.error.exception,ModuleNotFoundException,20,0,0,0,7,0,1,0,1,0
icmc,com.mc.icmc.error.exception,RoleAlreadyExistsException,40,0,0,0,14,0,2,0,2,0
icmc,com.mc.icmc.error.exception,UserNotFoundException,20,0,0,0,7,0,1,0,1,0
